Top 20 Cross-Category Correlated Feature Pairs:
1. market_forward_excess_returns - forward_returns: 0.9999
217. V13 - M3: 0.3109
218. E9 - I4: 0.3092
219. V11 - M5: 0.3085
220. V10 - M18: 0.3085
221. I1 - E6: 0.3074
222. M9 - S3: 0.3074
223. V6 - E15: 0.3074
224. M17 - S1: 0.3072
225. V7 - E8: 0.3062
226. I3 - E11: 0.3059
227. M1 - P1: 0.3036
228. M8 - V12: 0.3031
229. V2 - I1: 0.3029
230. M6 - E3: 0.3025
231. M18 - E19: 0.3023
232. date_id - S11: 0.3019
233. M10 - E7: 0.3015
234. E6 - I3: 0.3013
235. S12 - E2: 0.3008
236. P2 - M1: 0.2999
237. E9 - P11: 0.2983
238. E17 - P8: 0.2976
239. V13 - M18: 0.2971
240. P10 - E9: 0.2971
241. P8 - M7: 0.2971
242. P11 - E10: 0.2965
243. E16 - M10: 0.2955
244. M2 - V13: 0.2941
245. V4 - I1: 0.2940
246. E3 - S12: 0.2938
247. P11 - M7: 0.2927
248. E17 - M10: 0.2917
249. P9 - M12: 0.2917
250. V11 - S9: 0.2882
251. V1 - S9: 0.2876
252. I7 - P9: 0.2867
253. I6 - M8: 0.2864
254. V11 - M8: 0.2864
255. E5 - risk_free_rate: 0.2857
256. V8 - S12: 0.2850
257. E6 - V2: 0.2848
258. E17 - S1: 0.2838
259. V4 - E6: 0.2837
260. M10 - I7: 0.2836
261. date_id - M13: 0.2834
262. P10 - E6: 0.2812
263. I2 - risk_free_rate: 0.2811
264. E16 - V5: 0.2787
265. V3 - M16: 0.2786
266. E3 - V5: 0.2780
267. M6 - S1: 0.2779
268. I2 - M8: 0.2764
269. S7 - M13: 0.2753
270. P5 - E16: 0.2748
271. M1 - P6: 0.2735
272. E19 - I2: 0.2721
273. M5 - P8: 0.2720
274. V8 - E7: 0.2710
275. S7 - V13: 0.2709
276. E2 - V5: 0.2703
277. E9 - P9: 0.2699
278. M17 - E16: 0.2698
279. I3 - E2: 0.2696
280. V2 - M16: 0.2682
281. P8 - M10: 0.2673
282. E4 - V11: 0.2668
283. P10 - S3: 0.2666
284. V9 - I2: 0.2658
285. M7 - P9: 0.2654
286. M6 - P11: 0.2635
287. V5 - P8: 0.2622
288. I1 - M14: 0.2619
289. E12 - M1: 0.2616
290. S5 - P6: 0.2615
291. S12 - V12: 0.2607
292. E5 - V13: 0.2601
293. M8 - E12: 0.2600
294. M10 - V11: 0.2599
295. V3 - I1: 0.2594
296. M8 - V8: 0.2590
297. S9 - V12: 0.2586
298. M11 - V10: 0.2575
299. I2 - V6: 0.2568
300. E4 - V1: 0.2567
301. M2 - V10: 0.2546
302. I8 - E9: 0.2539
303. M17 - S6: 0.2539
304. V10 - M6: 0.2535
305. V5 - E9: 0.2517
306. M12 - E20: 0.2516
307. M16 - E3: 0.2515
308. V9 - M6: 0.2513
309. E19 - S7: 0.2508
310. V7 - I2: 0.2508
311. P9 - S8: 0.2498
312. I6 - M6: 0.2497
313. P11 - V2: 0.2493
314. M13 - E18: 0.2491
315. P10 - V2: 0.2477
316. M14 - E10: 0.2476
317. V5 - P11: 0.2472
318. E17 - V5: 0.2469
319. I4 - S8: 0.2464
320. P5 - E3: 0.2462
321. I6 - V9: 0.2458
322. I5 - E3: 0.2452
323. P2 - I2: 0.2448
324. E3 - I9: 0.2443
325. M7 - E3: 0.2434
326. S7 - M18: 0.2429
327. E11 - M1: 0.2424
328. S7 - V9: 0.2422
329. E17 - P5: 0.2399
330. P13 - I3: 0.2396
331. E11 - M8: 0.2391
332. M16 - S9: 0.2388
333. E16 - P8: 0.2382
334. M7 - E2: 0.2379
335. E9 - S8: 0.2368
336. E14 - M9: 0.2361
337. E18 - M17: 0.2360
338. E10 - I8: 0.2354
339. M18 - E12: 0.2352
340. M14 - E4: 0.2351
341. M16 - E20: 0.2344
342. E3 - V11: 0.2344
343. P5 - I4: 0.2341
344. risk_free_rate - E1: 0.2337
345. M16 - V4: 0.2332
346. S7 - I6: 0.2310
347. M16 - E4: 0.2310
348. M17 - I3: 0.2306
349. M2 - E19: 0.2306
350. P11 - E7: 0.2306
351. I8 - P5: 0.2305
352. V8 - S9: 0.2290
353. E17 - P9: 0.2282
354. P8 - E18: 0.2271
355. E11 - M18: 0.2270
356. V4 - P11: 0.2263
357. V7 - E6: 0.2258
358. V7 - I6: 0.2248
359. P10 - V5: 0.2246
360. V1 - M6: 0.2246
361. M7 - V10: 0.2243
362. E7 - S1: 0.2241
363. date_id - E4: 0.2238
364. E2 - P5: 0.2232
365. V6 - M8: 0.2231
366. V5 - M14: 0.2229
367. P10 - V4: 0.2223
368. P10 - M7: 0.2215
369. E7 - S7: 0.2212
370. E2 - risk_free_rate: 0.2212
371. I2 - date_id: 0.2208
372. I6 - E5: 0.2207
373. I5 - V8: 0.2204
374. V3 - E6: 0.2201
375. V8 - I9: 0.2194
376. M6 - V7: 0.2190
377. M18 - V11: 0.2180
378. P1 - S4: 0.2178
379. P10 - V3: 0.2172
380. S4 - V6: 0.2168
381. P5 - M10: 0.2166
382. M5 - risk_free_rate: 0.2163
383. V13 - S5: 0.2156
384. E9 - S12: 0.2155
385. V8 - M18: 0.2150
386. P11 - E17: 0.2147
387. S1 - E16: 0.2144
388. E10 - P8: 0.2136
389. M4 - P5: 0.2132
390. P11 - S12: 0.2123
391. V13 - M9: 0.2118
392. I3 - E3: 0.2113
393. M6 - V13: 0.2113
394. M10 - P11: 0.2109
395. V8 - E4: 0.2104
396. M16 - V6: 0.2102
397. M17 - P1: 0.2099
398. M9 - S2: 0.2097
399. V3 - P11: 0.2092
400. E1 - M5: 0.2090
401. M9 - E2: 0.2083
402. I5 - V1: 0.2079
403. V1 - I9: 0.2071
404. E6 - M15: 0.2063
405. I6 - E8: 0.2053
406. P9 - V6: 0.2051
407. M7 - E15: 0.2049
408. M18 - E14: 0.2043
409. V7 - M9: 0.2043
410. E7 - V1: 0.2035
411. S7 - E6: 0.2030
412. E3 - M17: 0.2027
413. P1 - E8: 0.2027
414. M14 - S1: 0.2019
415. P13 - E15: 0.2018
416. date_id - V10: 0.2015
417. E19 - S5: 0.2004
418. S5 - M2: 0.2003
419. E6 - P8: 0.2001
420. E7 - V11: 0.1993
421. S8 - E15: 0.1992
422. E8 - S4: 0.1990
423. M13 - V8: 0.1987
424. M2 - V7: 0.1985
425. M5 - I5: 0.1980
426. P5 - E6: 0.1980
427. M5 - I9: 0.1974
428. I6 - M3: 0.1968
429. E10 - S7: 0.1966
430. S6 - V10: 0.1961
431. S9 - V6: 0.1956
432. E20 - P12: 0.1946
433. E8 - I2: 0.1940
434. risk_free_rate - E10: 0.1934
435. S3 - E16: 0.1933
436. S11 - P1: 0.1932
437. E7 - I9: 0.1930
438. I5 - E7: 0.1929
439. S4 - M12: 0.1921
440. V11 - E20: 0.1913
441. M7 - S8: 0.1911
442. V1 - M18: 0.1908
443. E9 - M12: 0.1901
444. I1 - P10: 0.1895
445. M7 - E9: 0.1893
446. E4 - M8: 0.1892
447. E15 - P1: 0.1890
448. E8 - S11: 0.1885
449. M11 - P6: 0.1883
450. S8 - E7: 0.1870
451. E6 - V13: 0.1863
452. E17 - M12: 0.1860
453. V13 - E8: 0.1858
454. I9 - P12: 0.1853
455. I5 - P12: 0.1852
456. date_id - E20: 0.1848
457. E20 - S1: 0.1846
458. M11 - S1: 0.1835
459. E1 - P11: 0.1835
460. S8 - I8: 0.1831
461. M18 - date_id: 0.1830
462. V9 - M2: 0.1830
463. E20 - V2: 0.1829
464. M10 - V4: 0.1827
465. M16 - I6: 0.1825
466. E12 - M9: 0.1824
467. M11 - E19: 0.1815
468. I4 - V4: 0.1809
469. V5 - M6: 0.1807
470. P5 - I7: 0.1806
471. P10 - E1: 0.1801
472. M7 - I7: 0.1796
473. S5 - V10: 0.1793
474. E10 - V7: 0.1791
475. V6 - S10: 0.1787
476. M12 - E7: 0.1785
477. E7 - M16: 0.1781
478. risk_free_rate - E12: 0.1779
479. E8 - S10: 0.1773
480. M9 - S12: 0.1772
481. P10 - M14: 0.1770
482. E16 - P9: 0.1766
483. M5 - E4: 0.1759
484. I8 - M12: 0.1753
485. S6 - E15: 0.1746
486. M8 - E9: 0.1745
487. P6 - I2: 0.1742
488. M8 - S12: 0.1737
489. S12 - P10: 0.1737
490. P2 - V6: 0.1735
491. E11 - risk_free_rate: 0.1732
492. M17 - P13: 0.1729
493. S6 - P9: 0.1729
494. M10 - P10: 0.1726
495. I4 - E7: 0.1724
496. M12 - E11: 0.1723
497. M9 - E8: 0.1722
498. I5 - V2: 0.1722
499. S11 - M18: 0.1721
500. I5 - V3: 0.1721
501. E14 - risk_free_rate: 0.1717
502. M7 - V5: 0.1714
503. S4 - M11: 0.1713
504. P7 - E3: 0.1712
505. M1 - S6: 0.1711
506. I9 - V3: 0.1707
507. I9 - V2: 0.1705
508. V4 - E20: 0.1705
509. P1 - S10: 0.1698
510. I1 - P11: 0.1696
511. V6 - S11: 0.1690
512. E7 - M8: 0.1689
513. M18 - E8: 0.1681
514. M9 - E11: 0.1675
515. M6 - E19: 0.1675
516. M9 - V1: 0.1664
517. E13 - risk_free_rate: 0.1656
518. E18 - S8: 0.1649
519. V2 - I4: 0.1648
520. M18 - I2: 0.1646
521. P12 - V11: 0.1646
522. I4 - P8: 0.1646
523. P2 - V1: 0.1645
524. I8 - P8: 0.1642
525. E2 - P7: 0.1630
526. D4 - M6: 0.1625
527. S11 - E12: 0.1624
528. M18 - S4: 0.1623
529. M8 - S10: 0.1621
530. P5 - S6: 0.1619
531. M5 - S1: 0.1616
532. V10 - S1: 0.1614
533. E7 - V3: 0.1614
534. V5 - date_id: 0.1613
535. E4 - V12: 0.1598
536. I3 - V10: 0.1597
537. P6 - E10: 0.1596
538. E15 - P5: 0.1595
539. M15 - I4: 0.1594
540. I6 - E19: 0.1588
541. M18 - S10: 0.1585
542. V11 - E9: 0.1585
543. P9 - E18: 0.1583
544. E11 - S11: 0.1583
545. I3 - E1: 0.1581
546. I7 - E15: 0.1579
547. P10 - date_id: 0.1579
548. V2 - M10: 0.1577
549. M9 - S7: 0.1576
550. M10 - V3: 0.1572
551. S1 - P5: 0.1570
552. M5 - P7: 0.1569
553. P6 - S7: 0.1567
554. M7 - V2: 0.1566
555. V5 - S2: 0.1566
556. E15 - P2: 0.1564
557. I6 - P1: 0.1562
558. S7 - V4: 0.1557
559. S7 - I2: 0.1555
560. M12 - E12: 0.1552
561. E2 - S2: 0.1551
562. E5 - P6: 0.1550
563. E3 - S2: 0.1550
564. I6 - S12: 0.1547
565. V7 - S5: 0.1546
566. M17 - E20: 0.1537
567. P9 - S1: 0.1535
568. S11 - M12: 0.1532
569. E2 - V2: 0.1531
570. E14 - M14: 0.1527
571. M6 - V2: 0.1526
572. I1 - M1: 0.1522
573. E12 - S10: 0.1519
574. S2 - P11: 0.1518
575. V4 - I5: 0.1513
576. M12 - S10: 0.1512
577. M6 - V3: 0.1511
578. M7 - V4: 0.1509
579. E13 - M18: 0.1508
580. S7 - V2: 0.1505
581. V10 - P2: 0.1505
582. I8 - M7: 0.1502
583. I2 - E12: 0.1502
584. V1 - S12: 0.1502
585. V4 - I9: 0.1496
586. I7 - E10: 0.1496
587. E12 - S3: 0.1495
588. I6 - V13: 0.1495
589. P1 - M3: 0.1492
590. I8 - M15: 0.1489
591. E17 - S3: 0.1487
592. V3 - I4: 0.1487
593. S5 - M1: 0.1486
594. M9 - V11: 0.1485
595. M11 - S11: 0.1478
596. V4 - E2: 0.1472
597. E9 - P8: 0.1464
598. P11 - E16: 0.1462
599. M3 - P2: 0.1462
600. P2 - M12: 0.1461
601. E4 - V2: 0.1461
602. M6 - E8: 0.1461
603. E11 - S10: 0.1457
604. E4 - M6: 0.1457
605. M10 - V5: 0.1457
606. M16 - V5: 0.1451
607. S12 - M18: 0.1447
608. P2 - S6: 0.1442
609. E3 - V2: 0.1433
610. E12 - S4: 0.1428
611. S12 - V6: 0.1426
612. V8 - E17: 0.1424
613. P5 - I3: 0.1423
614. P11 - E4: 0.1423
615. M15 - P1: 0.1421
616. S6 - M11: 0.1421
617. M11 - V7: 0.1420
618. V7 - I3: 0.1419
619. P7 - E6: 0.1419
620. V11 - P8: 0.1415
621. V7 - I1: 0.1409
622. E20 - V3: 0.1404
623. I3 - E16: 0.1403
624. V5 - E7: 0.1402
625. M16 - P12: 0.1399
626. V13 - E10: 0.1396
627. P13 - S8: 0.1395
628. S3 - P8: 0.1391
629. M13 - P7: 0.1388
630. E10 - M10: 0.1384
631. I9 - V6: 0.1384
632. P9 - M15: 0.1383
633. P5 - M12: 0.1380
634. S9 - E9: 0.1380
635. S6 - M12: 0.1378
636. V6 - I5: 0.1377
637. V5 - E4: 0.1376
638. E11 - S4: 0.1375
639. V5 - P5: 0.1369
640. E7 - V4: 0.1368
641. P12 - M14: 0.1365
642. V4 - M6: 0.1361
643. E1 - P1: 0.1361
644. E10 - I2: 0.1358
645. V4 - E3: 0.1355
646. M17 - S3: 0.1355
647. E7 - M9: 0.1352
648. E4 - V3: 0.1351
649. V5 - P9: 0.1347
650. S8 - M6: 0.1345
651. M15 - risk_free_rate: 0.1343
652. I7 - P8: 0.1342
653. V3 - P4: 0.1336
654. E14 - V7: 0.1335
655. E4 - S9: 0.1333
656. I7 - E12: 0.1331
657. P8 - M16: 0.1330
658. E4 - S12: 0.1329
659. M4 - S2: 0.1328
660. I7 - S8: 0.1325
661. P13 - S2: 0.1324
662. M10 - V8: 0.1323
663. E15 - V12: 0.1322
664. risk_free_rate - P7: 0.1321
665. M8 - E8: 0.1319
666. V6 - M11: 0.1318
667. I2 - E11: 0.1318
668. P5 - E7: 0.1314
669. E4 - V4: 0.1313
670. M10 - E20: 0.1310
671. M11 - S10: 0.1304
672. I9 - M18: 0.1303
673. E9 - M16: 0.1303
674. E15 - S1: 0.1303
675. V12 - I9: 0.1302
676. E17 - V12: 0.1300
677. M18 - I5: 0.1298
678. I5 - V12: 0.1298
679. P8 - E1: 0.1298
680. E19 - P2: 0.1298
681. D4 - S2: 0.1289
682. S3 - M10: 0.1288
683. M8 - S11: 0.1286
684. M8 - S4: 0.1285
685. E15 - M15: 0.1283
686. E3 - M15: 0.1281
687. M10 - I5: 0.1281
688. I5 - E10: 0.1279
689. S4 - E15: 0.1275
690. V12 - E16: 0.1272
691. M10 - I9: 0.1267
692. E10 - I9: 0.1264
693. E17 - V4: 0.1257
694. V3 - E2: 0.1253
695. E12 - S9: 0.1248
696. M18 - I3: 0.1247
697. I3 - M5: 0.1242
698. M7 - I1: 0.1237
699. M6 - V11: 0.1237
700. P8 - E14: 0.1234
701. E7 - V2: 0.1231
702. M9 - E13: 0.1228
703. E7 - M7: 0.1224
704. E20 - M2: 0.1223
705. P12 - V1: 0.1217
706. M14 - V9: 0.1216
707. E12 - I8: 0.1215
708. V1 - E5: 0.1212
709. E17 - I3: 0.1206
710. S3 - E18: 0.1205
711. I7 - E11: 0.1204
712. I6 - E18: 0.1202
713. M9 - E3: 0.1202
714. I4 - M12: 0.1200
715. P2 - I8: 0.1199
716. P1 - I7: 0.1195
717. V12 - S3: 0.1190
718. S2 - P10: 0.1189
719. E9 - P5: 0.1187
720. E11 - S9: 0.1187
721. I3 - E14: 0.1187
722. P8 - M12: 0.1182
723. V9 - S6: 0.1181
724. S3 - P1: 0.1175
725. S3 - V6: 0.1171
726. E14 - V13: 0.1170
727. I6 - M14: 0.1169
728. P10 - E13: 0.1166
729. S3 - M6: 0.1163
730. E2 - V8: 0.1156
731. P8 - E13: 0.1156
732. E11 - I8: 0.1153
733. E4 - P10: 0.1152
734. V8 - M9: 0.1147
735. M16 - V10: 0.1147
736. P6 - M3: 0.1146
737. S1 - V4: 0.1145
738. E14 - I1: 0.1140
739. P10 - E17: 0.1140
740. M16 - E18: 0.1132
741. S7 - V3: 0.1124
742. S12 - I3: 0.1121
743. M11 - V2: 0.1119
744. M6 - P5: 0.1118
745. P11 - M17: 0.1117
746. I1 - M10: 0.1115
747. V12 - S8: 0.1113
748. M12 - S9: 0.1109
749. E17 - V2: 0.1109
750. M11 - V4: 0.1107
751. P7 - I3: 0.1107
752. P12 - V8: 0.1102
753. M11 - I4: 0.1100
754. V3 - P12: 0.1093
755. M5 - E17: 0.1091
756. V6 - E8: 0.1090
757. V8 - S10: 0.1089
758. E2 - I6: 0.1088
759. V13 - I1: 0.1087
760. M14 - P6: 0.1087
761. S12 - M1: 0.1086
762. E5 - P10: 0.1086
763. V8 - E16: 0.1081
764. S8 - E20: 0.1080
765. I7 - M15: 0.1078
766. V1 - E10: 0.1078
767. M12 - V10: 0.1077
768. M18 - P6: 0.1076
769. P9 - E10: 0.1074
770. S12 - M5: 0.1073
771. P1 - E13: 0.1073
772. I1 - P2: 0.1073
773. I3 - V13: 0.1072
774. P11 - date_id: 0.1068
775. I3 - S8: 0.1064
776. V7 - M14: 0.1057
777. S1 - V2: 0.1052
778. E7 - I6: 0.1051
779. P5 - M7: 0.1049
780. E13 - M15: 0.1048
781. V10 - P13: 0.1048
782. E18 - M10: 0.1048
783. M8 - P12: 0.1044
784. M17 - E2: 0.1040
785. I3 - M1: 0.1038
786. V3 - E3: 0.1035
787. S12 - M10: 0.1035
788. P11 - I7: 0.1029
789. I8 - M11: 0.1026
790. date_id - M2: 0.1025
791. E4 - M7: 0.1025
792. M6 - E6: 0.1021
793. S9 - M11: 0.1019
794. V6 - M3: 0.1014
795. V4 - P8: 0.1009
796. E18 - P11: 0.1008
797. P10 - E14: 0.1007
798. I3 - M15: 0.1007
799. E17 - M16: 0.1001
800. S8 - E1: 0.0999
801. risk_free_rate - E19: 0.0995
802. E13 - P11: 0.0994
803. M7 - V3: 0.0992
804. M5 - E18: 0.0985
805. E13 - P12: 0.0985
806. M6 - S7: 0.0982
807. V8 - E9: 0.0979
808. risk_free_rate - V7: 0.0978
809. V2 - P8: 0.0978
810. P12 - E2: 0.0978
811. I1 - E4: 0.0972
812. S12 - E6: 0.0966
813. P2 - V3: 0.0965
814. P8 - S2: 0.0963
815. E7 - V6: 0.0962
816. P5 - E1: 0.0961
817. E16 - I4: 0.0960
818. E19 - M9: 0.0958
819. P11 - E14: 0.0957
820. I8 - E16: 0.0956
821. S12 - M3: 0.0955
822. I1 - E19: 0.0954
823. E10 - D4: 0.0952
824. I6 - M1: 0.0950
825. M12 - risk_free_rate: 0.0950
826. P12 - V2: 0.0948
827. P7 - M9: 0.0946
828. P2 - I4: 0.0946
829. S3 - P13: 0.0945
830. E14 - P1: 0.0939
831. V3 - M11: 0.0937
832. M4 - S3: 0.0937
833. S6 - I3: 0.0935
834. P12 - date_id: 0.0933
835. E8 - S9: 0.0931
836. V3 - E17: 0.0930
837. I1 - S7: 0.0930
838. P13 - E8: 0.0926
839. V2 - P4: 0.0925
840. risk_free_rate - I7: 0.0923
841. M12 - E16: 0.0923
842. I2 - M3: 0.0922
843. I3 - S3: 0.0922
844. V11 - E16: 0.0920
845. M4 - E3: 0.0918
846. S11 - V8: 0.0913
847. E18 - P1: 0.0912
848. I3 - M3: 0.0911
849. E7 - P12: 0.0907
850. D4 - P13: 0.0906
851. I2 - V13: 0.0906
852. M9 - E4: 0.0900
853. I8 - V4: 0.0896
854. V8 - E5: 0.0895
855. M1 - S4: 0.0887
856. S12 - V7: 0.0886
857. P1 - risk_free_rate: 0.0885
858. P12 - E4: 0.0881
859. S2 - V6: 0.0881
860. V4 - P2: 0.0880
861. P6 - M2: 0.0879
862. S2 - M17: 0.0878
863. S8 - M4: 0.0878
864. E16 - M16: 0.0878
865. I1 - P9: 0.0876
866. E2 - M4: 0.0874
867. M1 - E20: 0.0874
868. M7 - I4: 0.0873
869. P5 - D4: 0.0873
870. V4 - P12: 0.0872
871. V5 - E15: 0.0872
872. V10 - S12: 0.0867
873. S6 - D4: 0.0867
874. M2 - I6: 0.0864
875. S8 - D4: 0.0864
876. M9 - V5: 0.0861
877. V11 - E17: 0.0860
878. P12 - E3: 0.0852
879. E18 - P5: 0.0851
880. P13 - M1: 0.0847
881. M6 - S2: 0.0845
882. E19 - M14: 0.0843
883. M17 - V4: 0.0836
884. M5 - V5: 0.0836
885. E7 - I8: 0.0832
886. S7 - M3: 0.0832
887. S3 - D4: 0.0828
888. I2 - P12: 0.0815
889. E2 - S7: 0.0815
890. I3 - risk_free_rate: 0.0814
891. E2 - M15: 0.0813
892. S1 - P8: 0.0809
893. V8 - S4: 0.0809
894. I3 - E13: 0.0806
895. S8 - I9: 0.0805
896. V10 - S4: 0.0804
897. D4 - V9: 0.0802
898. I4 - P10: 0.0801
899. P9 - S4: 0.0801
900. V2 - P2: 0.0799
901. V9 - I1: 0.0799
902. E13 - M14: 0.0797
903. I5 - S8: 0.0796
904. I3 - E19: 0.0796
905. M18 - P7: 0.0794
906. date_id - M3: 0.0793
907. V5 - M4: 0.0792
908. E5 - P12: 0.0792
909. P7 - I6: 0.0785
910. V2 - I8: 0.0784
911. I1 - risk_free_rate: 0.0782
912. E12 - V7: 0.0781
913. V10 - D4: 0.0780
914. M9 - S8: 0.0779
915. V3 - P8: 0.0777
916. M9 - V6: 0.0777
917. E9 - V1: 0.0773
918. M8 - P2: 0.0771
